module,unit,word,part_of_speech,chinese_meaning,textbook_example,speaking_example
Unit 1,Words and expressions,suppose,v.,"想，认为",I suppose everyone has something they don't like about themselves.,I suppose maths is hard for many students.
Unit 1,Words and expressions,birthmark,n.,"胎记，胎痣","For me, it was the birthmark on my face.",My little cousin has a small birthmark on his arm.
Unit 1,Words and expressions,bright,adj.,鲜艳的,"It was bright red, the colour of a strawberry.",I like your bright yellow schoolbag!
Unit 1,Words and expressions,strawberry,n.,草莓,"It was bright red, the colour of a strawberry.",Strawberry ice cream is my favourite.
Unit 1,Words and expressions,crowded,adj.,挤满人（物）的；拥挤的,"On crowded buses and trains, it felt just like a disaster.",The subway is really crowded at 8 a.m.
Unit 1,Words and expressions,disaster,n.,"灾难，不幸","On crowded buses and trains, it felt just like a disaster.",I forgot my homework - what a disaster!
Unit 1,Words and expressions,therefore,adv.,"因此，由此，所以","Therefore, I always kept my hair long to cover it.","I was ill; therefore, I stayed at home."
Unit 1,Words and expressions,cover,v.,遮盖,I always kept my hair long to cover it until that day.,He covered his eyes during the scary movie.
Unit 1,Words and expressions,instead,adv.,代替；而不是,"Instead of looking away, Maddie studied my face.",I didn't take the bus. I walked instead.
Unit 1,Words and expressions,instead of,短语,代替……；而不是……,"Instead of looking away, Maddie studied my face.",Let's play basketball instead of staying at home.
Unit 1,Words and expressions,although,conj.,"虽然，尽管","Although I only replied ""thank you"", it turned sunny in my heart.","Although I was tired, I finished my homework."
Unit 1,Words and expressions,bathroom,n.,"浴室，卫生间",I rushed to the bathroom and looked in the mirror.,I sing songs in the bathroom every morning.
Unit 1,Words and expressions,quickly,adv.,"很快，马上",I could look at my birthmark without quickly turning away.,She quickly put away her phone when Mum came in.
Unit 1,Words and expressions,truly,adv.,"真实地，确实地",The shape of it was truly like a flower.,This is truly the best dumpling I've ever had.
Unit 1,Words and expressions,paint,v.,（用颜料）画，绘,Maddie painted a red rose on her own face!,We painted a big panda on the class wall.
Unit 1,Words and expressions,yet,adv.,"还，尚",I haven't told Maddie the whole story yet.,I haven't watched that new film yet.
Unit 1,Words and expressions,anyway,adv.,总之,"Anyway, she has changed me.","It's raining. Anyway, let's play chess inside."
Unit 1,Words and expressions,already,adv.,已经,I have already learnt that I am what I am.,I have already packed my schoolbag.
Unit 1,Words and expressions,difference,n.,"差别，差异",Accept your differences. They make you special.,There's a big difference between the two photos.
Unit 1,Words and expressions,hate,v.,"讨厌，不喜欢",Sally hated the birthmark on her face.,I hate getting up early on Mondays.
Unit 1,Words and expressions,successful,adj.,"有成就的，出人头地的",You can use examples of successful people and their sayings to support your idea.,My uncle is a successful cook with his own restaurant.
Unit 1,Words and expressions,scientific,adj.,科学（上）的,The results of scientific studies can also help you make wise decisions.,We did a scientific experiment with water today.
Unit 1,Words and expressions,wise,adj.,"明智的，明断的",Scientific studies can help you make wise decisions.,Going to bed early before the exam was a wise choice.
Unit 1,Words and expressions,perfect,adj.,完成时的,Write sentences with the present perfect tense.,"""Have done"" is the present perfect tense form of ""do""."
Unit 1,Words and expressions,row,n.,"一排，一行",And I have always sat in the last row at school.,"I sit in the second row, near the window."
Unit 1,Words and expressions,height,n.,身高；高，高度,"Over time, I have learnt to accept my height.",What's your height? - About 1.7 metres.
Unit 1,Words and expressions,literature,n.,文学；文学作品,Many works of literature have described characters in search of their values.,Our teacher loves literature and reads us poems.
Unit 1,Words and expressions,character,n.,（书、剧本、电影等中的）人物，角色,Who are the main characters?,Monkey King is my favourite character in the book.
Unit 1,Words and expressions,wizard,n.,男巫,They all need help from the wizard.,The wizard in the story can make people fly.
Unit 1,Words and expressions,brain,n.,"脑，大脑",The Scarecrow wants a brain.,Use your brain before you answer!
Unit 1,Words and expressions,value,n.,价值观,It's a great book about finding our own values.,Being honest is one of my values.
Unit 1,Words and expressions,quality,n.,"素质；品德，品性","We already have the qualities, and we just need to discover them.",Kindness is a great quality in a friend.
Unit 1,Words and expressions,impossible,adj.,不可能发生的；办不到的,"Nothing is impossible; the word itself says ""I'm possible"".",Finishing this book in one hour is impossible for me.
Unit 1,Words and expressions,nothing,pron.,没有任何东西；没有事,Nothing is impossible as long as you try and stick to it.,There is nothing in my pocket.
Unit 1,Words and expressions,British,adj.,英国的；英国人的,"Audrey Hepburn, the British actress and star of the silver screen, said this.",My pen friend is British. She lives in London.
Unit 1,Words and expressions,actress,n.,女演员,"Audrey Hepburn, the British actress, said this.",The actress in that film is really funny.
Unit 1,Words and expressions,silver,adj.,"银制的，银质的",Audrey Hepburn was a star of the silver screen.,Grandma gave me a silver ring.
Unit 1,Words and expressions,the silver screen,短语,电影业,Audrey Hepburn was a star of the silver screen.,He dreams of becoming a star of the silver screen.
Unit 1,Words and expressions,doubt,n./v.,n. 不确定，怀疑；v. 怀疑，不相信，不信任,"However, doubts and fears often hold us back. / People doubted his decision.",I doubt we can finish the game before dinner.
Unit 1,Words and expressions,fear,n.,害怕，恐惧；担忧,Su fought his fears and became a sporting hero.,I finally faced my fear of dogs.
Unit 1,Words and expressions,succeed,v.,"成功，达成",How can we face them and succeed?,Keep trying and you will succeed.
Unit 1,Words and expressions,excellent,adj.,卓越的；极好的,The runner Su Bingtian gives an excellent answer to this question.,Your English speech was excellent!
Unit 1,Words and expressions,second,n.,秒,"In 2011, he ran the race in 10.16 seconds.",Wait a second - I'll get my jacket.
Unit 1,Words and expressions,satisfied,adj.,"满意的，满足的","However, Su wasn't satisfied.",I'm satisfied with my test score this time.
Unit 1,Words and expressions,risky,adj.,"有危险的，有风险的",This was a very risky decision.,Riding fast in the rain is risky.
Unit 1,Words and expressions,zero,num.,零,He had to start from zero.,The temperature fell to zero last night.
Unit 1,Words and expressions,Olympics,n.,"奥林匹克运动会，奥运会","In 2021, he finished in 9.83 seconds at the Tokyo Olympics.",I watched the Olympics with my dad every night.
Unit 1,Words and expressions,athlete,n.,运动员；田径运动员,He became the first Chinese athlete to run in the Olympic 100 m final.,She trains hard because she wants to be an athlete.
Unit 1,Words and expressions,stick,v.,"粘，贴",Nothing is impossible as long as you try and stick to it.,I stuck a photo on the first page of my notebook.
Unit 1,Words and expressions,stick to,短语,坚持,Nothing is impossible as long as you try and stick to it.,"If you make a plan, stick to it."
Unit 1,Words and expressions,superman,n.,超人,Everyone can be a Su-perman!,Dad carried all the boxes alone - he's a superman!
Unit 1,Developing ideas（读写正文短语）,hold back,短语,阻碍……前进,"However, doubts and fears often hold us back.",Don't let one bad score hold you back.
Unit 1,Developing ideas（读写正文短语）,fight one's fear,短语,战胜恐惧,Su fought his fears and became a sporting hero.,I fought my fear and spoke on the stage.
Unit 2,Understanding ideas,shout,v.,大声说；喊叫,"""What are you doing here?"" he shouts in a very angry voice.",Don't shout at me — I can hear you!
Unit 2,Understanding ideas,gate,n.,大门,The Giant closes the gate and builds a high wall around the garden.,Meet me at the school gate after class.
Unit 2,Understanding ideas,build,v.,建造；盖,The Giant closes the gate and builds a high wall around the garden.,My dad helped me build a bookshelf.
Unit 2,Understanding ideas,since,prep./conj.,自从……以来,"Since then, he hasn't seen a child there.",I've known her since primary school.
Unit 2,Understanding ideas,nor,conj.,也不,"But spring never comes, nor summer.","I don't like coffee, nor does my mum."
Unit 2,Understanding ideas,hole,n.,洞；孔,The Giant sees a hole in the wall.,There's a hole in my sock!
Unit 2,Understanding ideas,glad,adj.,高兴的；开心的,The trees are so glad that they have covered themselves with flowers.,I'm so glad you came to my party.
Unit 2,Understanding ideas,knock,v.,敲,He knocks down the wall.,Please knock before you come in.
Unit 2,Understanding ideas,knock down,phr.,摧毁；拆毁,He knocks down the wall.,They knocked down the old house last week.
Unit 2,Understanding ideas,afraid,adj.,害怕的；恐惧的,The children look afraid.,I'm afraid of spiders.
Unit 2,Understanding ideas,message,n.,（故事等的）寓意；要旨,Choose the message of the passage.,"The message of the film is ""never give up""."
Unit 2,Understanding ideas,double,adj.,双倍的；两倍的,Shared joy is a double joy.,Can I have a double portion of rice?
Unit 2,Understanding ideas,understanding,n.,理解,Write a short story about understanding between people.,A little understanding can fix most arguments.
Unit 2,Understanding ideas,return,v.,返回；回来,"The children have returned, and the garden is lively again.",When will you return from Beijing?
Unit 2,Understanding ideas,lively,adj.,充满活力的；生气勃勃的,"The children have returned, and the garden is lively again.",Our class is really lively in the afternoon.
Unit 2,Understanding ideas,theirs,pron.,他们的（东西）,The Giant tells the children the garden is theirs.,"This classroom is ours, and that one is theirs."
Unit 2,Grammar,grade,n.,年级,We have been friends since Grade 3.,My little brother is in Grade 5.
Unit 2,Grammar,article,n.,（报刊的）文章,"Complete the news article with for, since or the correct form of the words in brackets.",I read an interesting article about pandas.
Unit 2,Grammar,priceless,adj.,极其贵重的；无价的,"Free ice creams, priceless gifts.",Grandma's old photos are priceless to me.
Unit 2,Grammar,offer,v.,提供；给予,"Every year, on his birthday, he offers free ice creams.",Let me offer you some help with your bags.
Unit 2,Grammar,plan,v.,计划,"This year, Uncle Jimmy plans to give away 800 ice creams.",We plan to visit the museum this weekend.
Unit 2,Grammar,quite,adv.,很；较为,People have been quite stressed recently and I want to help.,This maths problem is quite hard.
Unit 2,Grammar,stressed,adj.,焦虑的；紧张的,People have been quite stressed recently and I want to help.,I feel stressed before big exams.
Unit 2,Grammar,recently,adv.,最近；近来,People have been quite stressed recently and I want to help.,Have you seen any good films recently?
Unit 2,Grammar,online,adv.,从网上；在网上,He has made many friends online since then.,I bought this game online.
Unit 2,Developing ideas (听说),ticket,n.,票；入场券,Let's buy our tickets now.,"Two tickets for the 7 o'clock film, please."
Unit 2,Developing ideas (听说),true,adj.,真正的,True friends will respect your feelings.,A true friend tells you the truth.
Unit 2,Developing ideas (听说),respect,v.,尊重；顾及,True friends will respect your feelings.,We should respect other people's ideas.
Unit 2,Reading for writing,narrow,adj.,狭窄的,Narrow lanes are very common in China.,The street is too narrow for two cars.
Unit 2,Reading for writing,lane,n.,……巷（常用于路名中）,"Liuchixiang (Six-chi Lane) in Tongcheng, Anhui, is perhaps the most famous one.",There's a quiet lane behind our school.
Unit 2,Reading for writing,unit,n.,（计量用的）单位,"They are usually about two metres wide, or six chi in traditional Chinese units.",The metre is a unit of length.
Unit 2,Reading for writing,perhaps,adv.,可能；大概；也许,It is perhaps the most famous one.,Perhaps we can play basketball after school.
Unit 2,Reading for writing,argue,v.,争论；争吵,"Two local families, the Zhangs and the Wus, argued over the dividing line between their houses.",My sister and I sometimes argue over the TV.
Unit 2,Reading for writing,divide,v.,（把……）分开,They argued over the dividing line between their houses.,Let's divide the class into four groups.
Unit 2,Reading for writing,dividing line,phr.,分界线；界限,They argued over the dividing line between their houses.,The river is the dividing line between the two towns.
Unit 2,Reading for writing,reach,v.,实现；达成,They couldn't reach agreement.,The two teams finally reached a decision.
Unit 2,Reading for writing,agreement,n.,（意见的）一致；相合,They couldn't reach agreement.,We came to an agreement about the trip.
Unit 2,Reading for writing,reach agreement,phr.,达成一致,They couldn't reach agreement.,"After a long talk, we reached agreement at last."
Unit 2,Reading for writing,relative,n.,家人；亲戚,"Their relative, Zhang Ying, had a position high up in the government.",We visit our relatives at Spring Festival.
Unit 2,Reading for writing,government,n.,政府,"Their relative, Zhang Ying, had a position high up in the government.",The government built a new library in our city.
Unit 2,Reading for writing,poem,n.,诗；韵文,They opened it to find a poem inside.,We learnt a poem by Li Bai today.
Unit 2,Reading for writing,inside,adv.,在……里面,They opened it to find a poem inside.,It's raining — let's go inside.
Unit 2,Reading for writing,neighbour,n.,邻居；邻人,They stepped back three chi for their neighbour.,Our neighbour has a very cute dog.
Unit 2,Reading for writing,act,n.,行为；举动,This act deeply moved the Wu family.,Helping the old man was a kind act.
Unit 2,Reading for writing,pass,v.,（时间）过去；流逝,Hundreds of years have passed since then.,Three years have passed since we first met.
Unit 2,Reading for writing,whenever,conj.,每当,"Whenever they walk down the lane, they remember how kindness encourages more kindness.","Whenever I'm sad, I listen to music."
Unit 3,Understanding ideas,fair,n.,展览会,"Easton stood beside his work at a science fair.","Our school fair is this Friday—want to come?"
Unit 3,Understanding ideas,block,n.,一块（指木头、石头等有直边的硬物）,"He built it out of plastic blocks and fishing line.","My little brother loves playing with building blocks."
Unit 3,Understanding ideas,artificial,adj.,人造的，人工的,"""Hello,"" said a girl with an artificial arm.","These flowers look real, but they're artificial."
Unit 3,Understanding ideas,condition,n.,长期疾病,"This was the first time Easton met Jenny, a girl with a special condition.","My grandpa has a heart condition, so he walks slowly."
Unit 3,Understanding ideas,cost,v.,价格为，需支付（某一数量的钱）,"Her artificial arm was just a simple hook, but it cost $80,000.","This phone cost me way too much!"
Unit 3,Understanding ideas,lend,v.,借给，借出,"I must lend a hand to people like her.","Can you lend me your pen for a second?"
Unit 3,Understanding ideas,lend (sb) a hand,短语,帮助（某人）做事；（给某人）搭把手,"I must lend a hand to people like her.","Let me lend you a hand with your bag."
Unit 3,Understanding ideas,3-D,adj.,三维的，立体的,"For his 16th birthday, Easton got a 3-D printer.","We watched a 3-D movie last weekend."
Unit 3,Understanding ideas,printer,n.,打印机,"People can make an artificial arm with their own 3-D printers!","The printer is out of paper again."
Unit 3,Understanding ideas,invent,v.,发明，创造,"And with it, he invented an artificial arm.","Who invented the telephone?"
Unit 3,Understanding ideas,weigh,v.,重，重量是……,"The arm weighed 3.6 kilograms. It was too heavy for a child.","How much does your schoolbag weigh?"
Unit 3,Understanding ideas,kilogram,n.,千克，公斤,"His design only weighed 0.5 kilograms and cost around $500!","I bought two kilograms of apples."
Unit 3,Understanding ideas,fix,v.,解决（问题）,"He enjoyed fixing problems one after another.","Don't worry, we can fix this problem together."
Unit 3,Understanding ideas,invention,n.,发明（物）,"Easton's invention has helped many children.","The Internet is a great invention."
Unit 3,Understanding ideas,download,v.,下载,"People can download the design and make an artificial arm.","I downloaded a new game last night."
Unit 3,Understanding ideas,apply,v.,应用，运用,"He also hoped to apply it to real life after finishing high school.","You can apply what you learn in class to real life."
Unit 3,Understanding ideas,blind,adj.,盲的，失明的,"Blind students at school had a hard time moving around.","The blind man crossed the street with his guide dog."
Unit 3,Understanding ideas,machine,n.,机器,"They wished to have a smart machine to warn them about the objects in their way.","This machine makes coffee in one minute."
Unit 3,Understanding ideas,warn,v.,警告，告诫；提醒,"It can sense objects nearby and shake to warn the user.","The sign warns people not to swim here."
Unit 3,Understanding ideas,object,n.,物体,"They wished to have a smart machine to warn them about the objects in their way.","What's that strange object on the table?"
Unit 3,Understanding ideas,sense,v.,检测并记录,"It can sense objects nearby and shake to warn the user.","My phone can sense how many steps I take."
Unit 3,Understanding ideas,congratulations,n.,祝贺的话,"Shantanu won an award and received many congratulations for his invention.","Congratulations on winning the game!"
Unit 3,Understanding ideas,advertisement,n.,广告；启事,"Then write an advertisement for it.","I saw an advertisement for that new movie."
Unit 3,Understanding ideas,everyday,adj.,日常的；平常的；每天的,"What everyday problem do you face?","Getting up early is just part of everyday life."
Unit 3,Understanding ideas,trouble,v.,使忧虑，使苦恼,"How does the problem trouble you?","Sorry to trouble you, but could you help me?"
Unit 3,Understanding ideas,creative,adj.,有创造力的,"Be creative! You can be as imaginative as you want.","She's so creative—she makes her own comics."
Unit 3,Understanding ideas,imaginative,adj.,富有想象力的；创新的,"You can be as imaginative as you want.","That's a really imaginative story you wrote!"
